scores,max_depth,min_samples_leaf,min_samples_split
0.680840886203424,10,3,10
0.6807653575025177,10,3,25
0.6829556898288016,10,3,50
0.6820996978851964,10,3,75
0.6839879154078551,10,3,100
0.6814702920443102,10,5,10
0.6828549848942599,10,5,25
0.6834592145015106,10,5,50
0.6824018126888218,10,5,75
0.683534743202417,10,5,100
0.6833836858006043,10,7,10
0.6824269889224572,10,7,25
0.6821500503524673,10,7,50
0.6832326283987916,10,7,75
0.6831067472306144,10,7,100
0.6831319234642498,10,9,10
0.6819486404833837,10,9,25
0.6825528700906345,10,9,50
0.6827291037260826,10,9,75
0.6824773413897282,10,9,100
0.6880664652567976,20,3,10
0.6874874118831823,20,3,25
0.6870090634441087,20,3,50
0.6878398791540785,20,3,75
0.6847432024169183,20,3,100
0.6883434038267875,20,5,10
0.6863544813695871,20,5,25
0.6883434038267875,20,5,50
0.6884441087613292,20,5,75
0.6848942598187311,20,5,100
0.687134944612286,20,7,10
0.686631419939577,20,7,25
0.6887713997985901,20,7,50
0.6861530715005035,20,7,75
0.6853726082578045,20,7,100
0.6862537764350453,20,9,10
0.6872356495468277,20,9,25
0.6859768378650554,20,9,50
0.6857754279959718,20,9,75
0.6869838872104733,20,9,100
0.6844662638469285,30,3,10
0.6881168177240685,30,3,25
0.6862034239677743,30,3,50
0.6894763343403827,30,3,75
0.685901309164149,30,3,100
0.6866565961732125,30,5,10
0.6883685800604229,30,5,25
0.6870342396777442,30,5,50
0.6859768378650554,30,5,75
0.6851208459214501,30,5,100
0.6887210473313192,30,7,10
0.688318227593152,30,7,25
0.6855488418932527,30,7,50
0.6863544813695871,30,7,75
0.6862286002014099,30,7,100
0.6871097683786506,30,9,10
0.6876888217522659,30,9,25
0.6876888217522659,30,9,50
0.6880161127895267,30,9,75
0.6864300100704934,30,9,100
0.6850704934541791,40,3,10
0.687915407854985,40,3,25
0.6856998992950654,40,3,50
0.6893001007049346,40,3,75
0.6866565961732125,40,3,100
0.6857754279959718,40,5,10
0.6870342396777442,40,5,25
0.6869587109768378,40,5,50
0.6858761329305135,40,5,75
0.6849194360523665,40,5,100
0.687411883182276,40,7,10
0.6880664652567976,40,7,25
0.6849446122860019,40,7,50
0.6863544813695871,40,7,75
0.6862286002014099,40,7,100
0.6872104733131923,40,9,10
0.6877139979859013,40,9,25
0.6875377643504532,40,9,50
0.6880161127895267,40,9,75
0.6864300100704934,40,9,100
